Token,IOB,Entity_Type_Number,Attention_Mask
water,O,0,0
levels,O,0,0
in,O,0,0
the,O,0,0
soil,O,0,0
.,O,0,0
water,B,13,1
pumps,I,13,1
are,O,0,0
controlled,O,0,0
remotely,O,0,0
to,O,0,0
optimize,O,0,0
irrigation,O,0,0
.,O,0,0
all,O,0,0
devices,O,0,0
communicate,O,0,0
via,O,0,0
wifi,O,0,0
through,O,0,0
a,O,0,0
central,O,0,0
raspberry,O,0,0
pibased,O,0,0
controller,O,0,0
.,O,0,0
additionally,O,0,0
pressure,B,6,1
sensors,I,6,1
are,O,0,0
installed,O,0,0
in,O,0,0
water,O,0,0
pipelines,O,0,0
to,O,0,0
detect,O,0,0
leaks,O,0,0
and,O,0,0
ensure,O,0,0
efficient,O,0,0
water,O,0,0
distribution,O,0,0
.,O,0,0
smart,B,13,1
traffic,I,13,1
lights,I,13,1
use,O,0,0
data,O,0,0
from,O,0,0
flow,B,6,1
sensors,I,6,1
to,O,0,0
optimize,O,0,0
traffic,O,0,0
flow,O,0,0
and,O,0,0
reduce,O,0,0
congestion,O,0,0
.,O,0,0
a,O,0,0
smart,O,0,0
drone,O,0,0
monitoring,O,0,0
system,O,0,0
for,O,0,0
environmental,O,0,0
research,O,0,0
uses,O,0,0
gps,B,4,1
modules,I,4,1
temperature,O,0,0
sensors,O,0,0
and,O,0,0
dronemounted,O,0,0
cameras,B,6,1
.,O,0,0
the,O,0,0
gps,B,4,1
modules,I,4,1
track,O,0,0
the,O,0,0
drones,O,0,0
location,O,0,0
in,O,0,0
realtime,O,0,0
while,O,0,0
temperature,O,0,0
sensors,O,0,0
collect,O,0,0
atmospheric,O,0,0
data,O,0,0
.,O,0,0
the,O,0,0
drone,O,0,0
is,O,0,0
equipped,O,0,0
with,O,0,0
lora,B,4,1
wireless,O,0,0
modules,O,0,0
for,O,0,0
longrange,O,0,0
communication,O,0,0
with,O,0,0
the,O,0,0
base,O,0,0
station,O,0,0
.,O,0,0
in,O,0,0
healthcare,O,0,0
facilities,O,0,0
biomedical,B,6,1
sensors,I,6,1
and,O,0,0
light,O,0,0
sensors,O,0,0
are,O,0,0
utilized,O,0,0
to,O,0,0
monitor,O,0,0
patient,O,0,0
conditions,O,0,0
and,O,0,0
ensure,O,0,0
proper,O,0,0
lighting,O,0,0
in,O,0,0
treatment,O,0,0
areas,O,0,0
.,O,0,0
raspberry,B,9,1
pi,I,9,1
boards,I,9,1
are,O,0,0
used,O,0,0
for,O,0,0
prototyping,O,0,0
and,O,0,0
developing,O,0,0
custom,O,0,0
iot,O,0,0
solutions,O,0,0
tailored,O,0,0
to,O,0,0
specific,O,0,0
needs,O,0,0
.,O,0,0
the,O,0,0
industrial,O,0,0
control,O,0,0
system,O,0,0
features,O,0,0
motor,B,5,1
controllers,I,5,1
rfid,B,4,1
sensors,O,0,0
and,O,0,0
a,O,0,0
raspberry,O,0,0
pibased,O,0,0
monitoring,O,0,0
board,O,0,0
.,O,0,0
the,O,0,0
motor,B,5,1
controllers,I,5,1
automate,O,0,0
various,O,0,0
electromechanical,O,0,0
processes,O,0,0
while,O,0,0
rfid,B,4,1
sensors,O,0,0
track,O,0,0
equipment,O,0,0
usage,O,0,0
.,O,0,0
data,O,0,0
from,O,0,0
these,O,0,0
devices,O,0,0
is,O,0,0
sent,O,0,0
to,O,0,0
the,O,0,0
raspberry,O,0,0
pi,O,0,0
development,O,0,0
board,O,0,0
which,O,0,0
acts,O,0,0
as,O,0,0
a,O,0,0
local,O,0,0
control,O,0,0
hub,O,0,0
.,O,0,0
wearable,B,11,1
devices,I,11,1
like,O,0,0
smartwatches,O,0,0
track,O,0,0
personal,O,0,0
health,O,0,0
metrics,O,0,0
and,O,0,0
communicate,O,0,0
with,O,0,0
healthcare,O,0,0
providers,O,0,0
to,O,0,0
offer,O,0,0
personalized,O,0,0
medical,O,0,0
advice,O,0,0
.,O,0,0
the,O,0,0
smart,B,11,1
irrigation,I,11,1
system,I,11,1
in,O,0,0
agricultural,O,0,0
fields,O,0,0
uses,O,0,0
soil,B,14,1
moisture,I,14,1
sensors,I,14,1
to,O,0,0
optimize,O,0,0
water,O,0,0
usage,O,0,0
and,O,0,0
maintain,O,0,0
healthy,O,0,0
plant,O,0,0
growth,O,0,0
.,O,0,0
these,O,0,0
sensors,O,0,0
are,O,0,0
connected,O,0,0
to,O,0,0
a,O,0,0
central,O,0,0
control,O,0,0
system,O,0,0
that,O,0,0
automatically,O,0,0
adjusts,O,0,0
irrigation,O,0,0
schedules,O,0,0
based,O,0,0
on,O,0,0
realtime,O,0,0
data,O,0,0
.,O,0,0
farmers,O,0,0
can,O,0,0
monitor,O,0,0
and,O,0,0
control,O,0,0
the,O,0,0
system,O,0,0
remotely,O,0,0
through,O,0,0
a,O,0,0
mobile,O,0,0
app,O,0,0
ensuring,O,0,0
efficient,O,0,0
resource,O,0,0
management,O,0,0
.,O,0,0
the,O,0,0
connected,O,0,0
transportation,O,0,0
system,O,0,0
in,O,0,0
the,O,0,0
city,O,0,0
utilizes,O,0,0
gps,B,4,1
modules,I,4,1
and,O,0,0
rfid,B,4,1
tags,O,0,0
to,O,0,0
track,O,0,0
the,O,0,0
location,O,0,0
and,O,0,0
movement,O,0,0
of,O,0,0
public,O,0,0
transportation,O,0,0
vehicles,O,0,0
.,O,0,0
iot,O,0,0
devices,O,0,0
like,O,0,0
temperature,O,0,0
and,O,0,0
humidity,B,6,1
sensors,I,6,1
are,O,0,0
used,O,0,0
in,O,0,0
cold,O,0,0
chain,O,0,0
logistics,O,0,0
to,O,0,0
ensure,O,0,0
perishable,O,0,0
goods,O,0,0
are,O,0,0
stored,O,0,0
and,O,0,0
transported,O,0,0
under,O,0,0
optimal,O,0,0
conditions,O,0,0
.,O,0,0
the,O,0,0
system,O,0,0
tracks,O,0,0
the,O,0,0
entire,O,0,0
journey,O,0,0
of,O,0,0
goods,O,0,0
from,O,0,0
warehouse,O,0,0
to,O,0,0
delivery,O,0,0
and,O,0,0
sends,O,0,0
alerts,O,0,0
if,O,0,0
any,O,0,0
deviation,O,0,0
from,O,0,0
the,O,0,0
required,O,0,0
conditions,O,0,0
is,O,0,0
detected,O,0,0
.,O,0,0
iotbased,O,0,0
public,O,0,0
safety,O,0,0
systems,O,0,0
use,O,0,0
surveillance,O,0,0
cameras,B,6,1
gunshot,O,0,0
detectors,O,0,0
and,O,0,0
emergency,O,0,0
alert,O,0,0
systems,O,0,0
to,O,0,0
monitor,O,0,0
and,O,0,0
respond,O,0,0
to,O,0,0
incidents,O,0,0
in,O,0,0
realtime,O,0,0
.,O,0,0
the,O,0,0
data,O,0,0
collected,O,0,0
is,O,0,0
sent,O,0,0
to,O,0,0
law,O,0,0
enforcement,O,0,0
agencies,O,0,0
enabling,O,0,0
faster,O,0,0
response,O,0,0
times,O,0,0
and,O,0,0
improving,O,0,0
overall,O,0,0
public,O,0,0
safety,O,0,0
.,O,0,0
iot,O,0,0
devices,O,0,0
in,O,0,0
smart,O,0,0
grids,O,0,0
facilitate,O,0,0
the,O,0,0
integration,O,0,0
of,O,0,0
renewable,O,0,0
energy,O,0,0
sources,O,0,0
like,O,0,0
solar,O,0,0
and,O,0,0
wind,O,0,0
by,O,0,0
monitoring,O,0,0
and,O,0,0
balancing,O,0,0
energy,O,0,0
production,O,0,0
and,O,0,0
consumption,O,0,0
in,O,0,0
realtime,O,0,0
.,O,0,0
the,O,0,0
system,O,0,0
can,O,0,0
automatically,O,0,0
switch,O,0,0
between,O,0,0
energy,O,0,0
sources,O,0,0
and,O,0,0
store,O,0,0
excess,O,0,0
energy,O,0,0
for,O,0,0
later,O,0,0
use,O,0,0
optimizing,O,0,0
grid,O,0,0
efficiency,O,0,0
.,O,0,0
in,O,0,0
the,O,0,0
smart,O,0,0
grid,O,0,0
smart,B,6,1
energy,I,6,1
meters,I,6,1
solar,B,13,1
inverters,I,13,1
and,O,0,0
power,O,0,0
monitoring,O,0,0
systems,O,0,0
ensure,O,0,0
the,O,0,0
efficient,O,0,0
distribution,O,0,0
of,O,0,0
energy,O,0,0
.,O,0,0
the,O,0,0
smart,B,6,1
energy,I,6,1
meters,I,6,1
provide,O,0,0
realtime,O,0,0
data,O,0,0
on,O,0,0
energy,O,0,0
consumption,O,0,0
while,O,0,0
the,O,0,0
solar,B,13,1
inverters,I,13,1
manage,O,0,0
the,O,0,0
flow,O,0,0
of,O,0,0
solar,O,0,0
energy,O,0,0
into,O,0,0
the,O,0,0
grid,O,0,0
.,O,0,0
the,O,0,0
power,O,0,0
monitoring,O,0,0
system,O,0,0
uses,O,0,0
voltage,B,6,1
sensors,I,6,1
to,O,0,0
prevent,O,0,0
overloads,O,0,0
and,O,0,0
ensure,O,0,0
grid,O,0,0
stability,O,0,0
all,O,0,0
connected,O,0,0
through,O,0,0
a,O,0,0
zigbee,B,4,1
network,O,0,0
.,O,0,0
iot,O,0,0
technology,O,0,0
in,O,0,0
smart,O,0,0
transportation,O,0,0
networks,O,0,0
enables,O,0,0
autonomous,O,0,0
vehicles,O,0,0
to,O,0,0
communicate,O,0,0
with,O,0,0
traffic,O,0,0
signals,O,0,0
other,O,0,0
vehicles,O,0,0
and,O,0,0
road,O,0,0
infrastructure,O,0,0
.,O,0,0
the,O,0,0
system,O,0,0
coordinates,O,0,0
vehicle,O,0,0
movements,O,0,0
to,O,0,0
reduce,O,0,0
traffic,O,0,0
congestion,O,0,0
prevent,O,0,0
accidents,O,0,0
and,O,0,0
improve,O,0,0
overall,O,0,0
transportation,O,0,0
efficiency,O,0,0
.,O,0,0
logistics,O,0,0
companies,O,0,0
use,O,0,0
iot,O,0,0
devices,O,0,0
such,O,0,0
as,O,0,0
gps,B,6,1
trackers,I,6,1
fuel,O,0,0
sensors,O,0,0
and,O,0,0
engine,O,0,0
monitors,O,0,0
to,O,0,0
manage,O,0,0
and,O,0,0
optimize,O,0,0
vehicle,O,0,0
fleets,O,0,0
.,O,0,0
the,O,0,0
system,O,0,0
tracks,O,0,0
vehicle,O,0,0
location,O,0,0
fuel,O,0,0
consumption,O,0,0
and,O,0,0
maintenance,O,0,0
needs,O,0,0
helping,O,0,0
companies,O,0,0
reduce,O,0,0
operational,O,0,0
costs,O,0,0
and,O,0,0
improve,O,0,0
delivery,O,0,0
efficiency,O,0,0
.,O,0,0
smart,B,13,1
traffic,I,13,1
lights,I,13,1
and,O,0,0
flow,B,6,1
sensors,I,6,1
are,O,0,0
used,O,0,0
to,O,0,0
optimize,O,0,0
traffic,O,0,0
patterns,O,0,0
reducing,O,0,0
congestion,O,0,0
and,O,0,0
improving,O,0,0
travel,O,0,0
times,O,0,0
.,O,0,0
the,O,0,0
entire,O,0,0
system,O,0,0
is,O,0,0
monitored,O,0,0
from,O,0,0
a,O,0,0
central,O,0,0
command,O,0,0
center,O,0,0
where,O,0,0
operators,O,0,0
can,O,0,0
make,O,0,0
realtime,O,0,0
adjustments,O,0,0
.,O,0,0
a,O,0,0
smart,O,0,0
agricultural,O,0,0
system,O,0,0
employs,O,0,0
soil,B,14,1
moisture,I,14,1
sensors,I,14,1
dronemounted,O,0,0
cameras,B,6,1
and,O,0,0
automated,B,13,1
irrigation,I,13,1
systems,I,13,1
.,O,0,0
the,O,0,0
soil,B,14,1
moisture,I,14,1
sensors,I,14,1
provide,O,0,0
data,O,0,0
to,O,0,0
the,O,0,0
irrigation,B,13,1
system,I,13,1
which,O,0,0
adjusts,O,0,0
water,O,0,0
flow,O,0,0
automatically,O,0,0
.,O,0,0
the,O,0,0
dronemounted,O,0,0
cameras,B,6,1
monitor,O,0,0
the,O,0,0
health,O,0,0
of,O,0,0
crops,O,0,0
by,O,0,0
capturing,O,0,0
aerial,O,0,0
imagery,O,0,0
.,O,0,0
all,O,0,0
devices,O,0,0
communicate,O,0,0
through,O,0,0
a,O,0,0
wifi,O,0,0
network,O,0,0
connected,O,0,0
to,O,0,0
the,O,0,0
farms,O,0,0
central,O,0,0
control,O,0,0
system,O,0,0
.,O,0,0
the,O,0,0
industrial,O,0,0
iot,O,0,0
network,O,0,0
in,O,0,0
the,O,0,0
oil,O,0,0
refinery,O,0,0
uses,O,0,0
gas,O,0,0
sensors,O,0,0
and,O,0,0
temperature,O,0,0
sensors,O,0,0
to,O,0,0
monitor,O,0,0
the,O,0,0
safety,O,0,0
of,O,0,0
operations,O,0,0
.,O,0,0
these,O,0,0
sensors,O,0,0
provide,O,0,0
realtime,O,0,0
data,O,0,0
to,O,0,0
the,O,0,0
control,O,0,0
room,O,0,0
where,O,0,0
operators,O,0,0
can,O,0,0
take,O,0,0
immediate,O,0,0
action,O,0,0
in,O,0,0
case,O,0,0
of,O,0,0
anomalies,O,0,0
.,O,0,0
additionally,O,0,0
the,O,0,0
system,O,0,0
includes,O,0,0
vibration,O,0,0
sensors,O,0,0
to,O,0,0
monitor,O,0,0
the,O,0,0
health,O,0,0
of,O,0,0
machinery,O,0,0
and,O,0,0
prevent,O,0,0
potential,O,0,0
failures,O,0,0
.,O,0,0
in,O,0,0
smart,O,0,0
retail,O,0,0
stores,O,0,0
iot,O,0,0
devices,O,0,0
like,O,0,0
rfid,B,4,1
tags,O,0,0
and,O,0,0
smart,B,13,1
shelves,I,13,1
are,O,0,0
used,O,0,0
to,O,0,0
track,O,0,0
inventory,O,0,0
levels,O,0,0
in,O,0,0
real,O,0,0
time,O,0,0
.,O,0,0
these,O,0,0
devices,O,0,0
send,O,0,0
data,O,0,0
to,O,0,0
the,O,0,0
central,O,0,0
inventory,O,0,0
management,O,0,0
system,O,0,0
which,O,0,0
automatically,O,0,0
generates,O,0,0
orders,O,0,0
when,O,0,0
stock,O,0,0
levels,O,0,0
fall,O,0,0
below,O,0,0
a,O,0,0
certain,O,0,0
threshold,O,0,0
.,O,0,0
the,O,0,0
system,O,0,0
also,O,0,0
uses,O,0,0
proximity,B,6,1
sensors,O,0,0
to,O,0,0
offer,O,0,0
personalized,O,0,0
promotions,O,0,0
to,O,0,0
customers,O,0,0
based,O,0,0
on,O,0,0
their,O,0,0
location,O,0,0
within,O,0,0
the,O,0,0
store,O,0,0
.,O,0,0
the,O,0,0
smart,O,0,0
agriculture,O,0,0
system,O,0,0
includes,O,0,0
environmental,B,6,1
sensors,I,6,1
that,O,0,0
monitor,O,0,0
soil,O,0,0
moisture,O,0,0
temperature,O,0,0
and,O,0,0
humidity,O,0,0
levels,O,0,0
in,O,0,0
crop,O,0,0
fields,O,0,0
.,O,0,0
these,O,0,0
sensors,O,0,0
are,O,0,0
connected,O,0,0
to,O,0,0
an,O,0,0
iot,B,12,1
gateway,I,12,1
that,O,0,0
aggregates,O,0,0
data,O,0,0
and,O,0,0
sends,O,0,0
it,O,0,0
to,O,0,0
the,O,0,0
cloud,O,0,0
for,O,0,0
analysis,O,0,0
.,O,0,0
farmers,O,0,0
can,O,0,0
access,O,0,0
the,O,0,0
data,O,0,0
through,O,0,0
a,O,0,0
web,O,0,0
portal,O,0,0
or,O,0,0
mobile,O,0,0
app,O,0,0
enabling,O,0,0
them,O,0,0
to,O,0,0
make,O,0,0
informed,O,0,0
decisions,O,0,0
about,O,0,0
irrigation,O,0,0
fertilization,O,0,0
and,O,0,0
pest,O,0,0
control,O,0,0
.,O,0,0
the,O,0,0
warehouse,O,0,0
management,O,0,0
system,O,0,0
in,O,0,0
the,O,0,0
logistics,O,0,0
industry,O,0,0
uses,O,0,0
iot,O,0,0
devices,O,0,0
like,O,0,0
rfid,B,4,1
tags,O,0,0
and,O,0,0
gps,B,4,1
modules,I,4,1
to,O,0,0
track,O,0,0
the,O,0,0
location,O,0,0
and,O,0,0
condition,O,0,0
of,O,0,0
goods,O,0,0
in,O,0,0
transit,O,0,0
.,O,0,0
the,O,0,0
system,O,0,0
provides,O,0,0
realtime,O,0,0
updates,O,0,0
to,O,0,0
the,O,0,0
central,O,0,0
dashboard,O,0,0
allowing,O,0,0
managers,O,0,0
to,O,0,0
monitor,O,0,0
shipments,O,0,0
and,O,0,0
ensure,O,0,0
timely,O,0,0
deliveries,O,0,0
.,O,0,0
in,O,0,0
case,O,0,0
of,O,0,0
delays,O,0,0
or,O,0,0
issues,O,0,0
the,O,0,0
system,O,0,0
automatically,O,0,0
generates,O,0,0
alerts,O,0,0
and,O,0,0
suggests,O,0,0
alternative,O,0,0
routes,O,0,0
.,O,0,0
in,O,0,0
smart,O,0,0
office,O,0,0
buildings,O,0,0
iot,O,0,0
devices,O,0,0
such,O,0,0
as,O,0,0
smart,O,0,0
lighting,O,0,0
systems,O,0,0
occupancy,O,0,0
sensors,O,0,0
and,O,0,0
hvac,O,0,0
controls,O,0,0
are,O,0,0
used,O,0,0
to,O,0,0
optimize,O,0,0
energy,O,0,0
usage,O,0,0
.,O,0,0
the,O,0,0
system,O,0,0
adjusts,O,0,0
lighting,O,0,0
and,O,0,0
temperature,O,0,0
settings,O,0,0
based,O,0,0
on,O,0,0
occupancy,O,0,0
patterns,O,0,0
reducing,O,0,0
energy,O,0,0
consumption,O,0,0
and,O,0,0
improving,O,0,0
employee,O,0,0
comfort,O,0,0
.,O,0,0
building,O,0,0
managers,O,0,0
can,O,0,0
monitor,O,0,0
and,O,0,0
control,O,0,0
the,O,0,0
system,O,0,0
remotely,O,0,0
through,O,0,0
a,O,0,0
central,O,0,0
dashboard,O,0,0
.,O,0,0
the,O,0,0
smart,O,0,0
logistics,O,0,0
system,O,0,0
in,O,0,0
the,O,0,0
supply,O,0,0
chain,O,0,0
industry,O,0,0
uses,O,0,0
iot,O,0,0
devices,O,0,0
like,O,0,0
gps,B,4,1
modules,I,4,1
rfid,B,4,1
tags,O,0,0
and,O,0,0
temperature,O,0,0
sensors,O,0,0
to,O,0,0
monitor,O,0,0
the,O,0,0
condition,O,0,0
and,O,0,0
location,O,0,0
of,O,0,0
perishable,O,0,0
goods,O,0,0
.,O,0,0
the,O,0,0
system,O,0,0
tracks,O,0,0
the,O,0,0
entire,O,0,0
supply,O,0,0
chain,O,0,0
from,O,0,0
production,O,0,0
to,O,0,0
delivery,O,0,0
ensuring,O,0,0
that,O,0,0
goods,O,0,0
are,O,0,0
transported,O,0,0
under,O,0,0
optimal,O,0,0
conditions,O,0,0
.,O,0,0
in,O,0,0
case,O,0,0
of,O,0,0
deviations,O,0,0
the,O,0,0
system,O,0,0
generates,O,0,0
alerts,O,0,0
and,O,0,0
provides,O,0,0
recommendations,O,0,0
for,O,0,0
corrective,O,0,0
actions,O,0,0
.,O,0,0
in,O,0,0
smart,O,0,0
healthcare,O,0,0
facilities,O,0,0
iot,O,0,0
devices,O,0,0
like,O,0,0
biomedical,B,6,1
sensors,I,6,1
patient,B,6,1
monitors,I,6,1
and,O,0,0
wearable,B,11,1
devices,I,11,1
are,O,0,0
used,O,0,0
to,O,0,0
track,O,0,0
patient,O,0,0
vitals,O,0,0
and,O,0,0
provide,O,0,0
realtime,O,0,0
data,O,0,0
to,O,0,0
healthcare,O,0,0
providers,O,0,0
.,O,0,0
these,O,0,0
devices,O,0,0
are,O,0,0
connected,O,0,0
to,O,0,0
a,O,0,0
central,O,0,0
monitoring,O,0,0
system,O,0,0
that,O,0,0
aggregates,O,0,0
data,O,0,0
and,O,0,0
generates,O,0,0
alerts,O,0,0
in,O,0,0
case,O,0,0
of,O,0,0
anomalies,O,0,0
.,O,0,0
the,O,0,0
system,O,0,0
also,O,0,0
provides,O,0,0
personalized,O,0,0
treatment,O,0,0
recommendations,O,0,0
based,O,0,0
on,O,0,0
patient,O,0,0
data,O,0,0
.,O,0,0
the,O,0,0
smart,O,0,0
building,B,2,1
management,I,2,1
